Date	Open	High	Low	Close	Volume	Vol2	MA1	MA2	MA3	MA4	MA5	MA6
2014/02/14	2276.6001	2290.3999	2273.2000	2288.3999	459567.00	314448216064	55429	2276.72	2249.52	2233.22	2248.553	2324.063	2355.128
2014/02/17	2297.0000	2320.0000	2292.6001	2305.3999	489404.00	338331566080	44260	2285.72	2257.36	2238.27	2247.84	2323.157	2354.765
2014/02/18	2306.2000	2307.6001	2272.0000	2280.3999	324034.00	222329241600	33632	2286.32	2262.32	2241.41	2246.38	2320.903	2354.4
2014/02/19	2280.2000	2310.6001	2275.2000	2304.2000	220024.00	151202381824	19610	2290.36	2268.74	2246.04	2245.02	2319.053	2354.185
2014/02/20	2314.0000	2325.6001	2281.8000	2284.0000	113012.00	77955858432	10304	2292.48	2277.22	2249.68	2243.427	2316.617	2353.807
2014/02/21	2284.3999	2292.0000	2259.2000	2261.2000	41409.00	28274911232	0	2287.04	2281.88	2253.6	2242.053	2314.06	2353.412
2014/02/24	2257.3999	2258.0000	2186.0000	2206.2000	642284.00	425571811328	95287	2267.2	2276.46	2254.68	2240.9	2310.71	2352.513
2014/02/25	2215.0000	2218.6001	2144.0000	2145.6001	697334.00	457617637376	101326	2240.24	2263.28	2251.64	2237.807	2306.633	2351.152
2014/02/26	2140.6001	2157.8000	2131.8000	2149.0000	676056.00	435457818624	98347	2209.2	2249.78	2246.36	2234.733	2302.6	2350.067
2014/02/27	2154.0000	2169.6001	2140.3999	2148.2000	775386.00	500836040704	97252	2182.04	2237.26	2241.56	2232.22	2298.03	2348.468
2014/02/28	2155.0000	2176.8000	2119.6001	2174.0000	842004.00	543488901120	93735	2164.6	2225.82	2237.67	2230.753	2293.453	2347.098
2014/03/03	2165.6001	2185.8000	2151.6001	2163.8000	686707.00	446822481920	93695	2156.12	2211.66	2234.51	2229.4	2288.567	2345.773
2014/03/04	2160.3999	2172.2000	2140.3999	2169.8000	738918.00	477759406080	93122	2160.96	2200.6	2231.46	2227.807	2284.173	2344.565
2014/03/05	2177.6001	2182.8000	2145.3999	2149.6001	682315.00	441722732544	98687	2161.08	2185.14	2226.94	2225.74	2279.14	2343.293
2014/03/06	2143.0000	2173.8000	2117.2000	2167.3999	919590.00	592395698176	91011	2164.92	2173.48	2225.35	2224.28	2273.893	2341.945
2014/03/07	2165.8000	2177.6001	2141.0000	2141.2000	731009.00	473832882176	92098	2158.36	2161.48	2221.68	2222.893	2268.183	2340.213
2014/03/10	2121.2000	2128.8000	2060.0000	2062.8000	708496.00	445468213248	92864	2138.16	2147.14	2211.8	2218.833	2261.447	2337.882
2014/03/11	2067.0000	2103.8000	2061.0000	2088.6001	791116.00	493528743936	84447	2121.92	2141.44	2202.36	2214.907	2255.233	2335.772
2014/03/12	2073.8000	2098.6001	2063.6001	2085.8000	837039.00	523185881088	82507	2109.16	2135.12	2192.45	2209.28	2248.963	2333.527
2014/03/13	2091.8000	2121.6001	2087.8000	2105.3999	794082.00	501853224960	79947	2096.76	2130.84	2184.05	2204.653	2243.703	2330.782
2014/03/14	2097.8000	2106.6001	2085.8000	2100.0000	576308.00	362570743808	71412	2088.52	2123.44	2174.63	2199.593	2238.493	2327.677
2014/03/17	2095.0000	2160.3999	2095.0000	2137.3999	637263.00	405132476416	58449	2103.44	2120.8	2166.23	2196.607	2233.88	2324.815
2014/03/18	2142.0000	2144.0000	2113.0000	2114.3999	501937.00	320186384384	54429	2108.6	2115.26	2157.93	2192.727	2229.693	2321.573
2014/03/19	2118.0000	2123.8000	2088.8000	2123.2000	529158.00	333770948608	34337	2116.08	2112.62	2148.88	2188.833	2225.783	2318.457
2014/03/20	2113.8000	2137.0000	2074.3999	2081.6001	219920.00	139265212416	15864	2111.32	2104.04	2138.76	2184.913	2221.007	2315.142
2014/03/21	2081.0000	2148.6001	2077.3999	2143.6001	71621.00	45249429504	0	2120.04	2104.28	2132.88	2182.547	2217.717	2312.668
2014/03/24	2151.0000	2163.3999	2132.2000	2150.8000	694899.00	447931777024	78180	2122.72	2113.08	2130.11	2178.893	2215.41	2310.323
2014/03/25	2155.0000	2176.6001	2142.2000	2152.6001	712445.00	460615942144	77984	2130.36	2119.48	2130.46	2174.733	2212.853	2307.732
2014/03/26	2161.8000	2166.0000	2143.6001	2153.0000	625918.00	404518600704	76948	2136.32	2126.2	2130.66	2170.367	2210.313	2305.27
2014/03/27	2146.8000	2181.0000	2124.6001	2134.8000	901952.00	581072060416	74529	2146.96	2129.14	2129.99	2165.747	2207.243	2302.77
2014/03/28	2142.2000	2165.8000	2137.6001	2145.0000	830598.00	536356651008	72609	2147.24	2133.64	2128.54	2160.967	2204.76	2300.72
2014/03/31	2150.0000	2168.0000	2128.2000	2143.3999	678008.00	437311307776	70973	2145.76	2134.24	2127.52	2155.567	2201.703	2298.595
2014/04/01	2148.3999	2176.0000	2139.0000	2158.3999	741374.00	479257034752	72976	2146.92	2138.64	2126.95	2151.5	2198.94	2296.502
2014/04/02	2160.6001	2178.0000	2157.3999	2175.0000	673003.00	437427666944	73558	2151.32	2143.82	2128.22	2147.193	2196.107	2294.293
2014/04/03	2180.2000	2195.0000	2157.8000	2159.6001	689044.00	450134867968	77260	2156.28	2151.62	2127.83	2143.047	2193.237	2291.815
2014/04/04	2156.6001	2190.0000	2150.8000	2188.0000	693640.00	451730407424	78278	2164.88	2156.06	2130.17	2140.607	2191.33	2289.807
2014/04/08	2179.8000	2249.8000	2178.2000	2247.2000	826752.00	550641205248	84085	2185.64	2165.7	2139.39	2141.973	2191.437	2287.983
2014/04/09	2249.8000	2258.6001	2235.8000	2236.2000	554425.00	373706457088	77892	2201.2	2174.06	2146.77	2144.993	2191.4	2286.045
2014/04/10	2244.0000	2297.8000	2233.2000	2285.0000	855974.00	579844571136	73375	2223.2	2187.26	2156.73	2149.527	2192.13	2284.575
